id,reference,hypothesis,BLEU,chrF++
1904,परंतु संसूचन माध्यमांची गती मंद असल्याने पश्चिमेकडील शैली 25 ते 30 वर्षांनी मागे राहू शकते,"तथापि, धीमे संप्रेषण वाहिन्यांमुळे, पश्चिमेकडील शैली पंचवीस ते तीस वर्षांनी मागे राहू शकतात.",11.9809,42.8283
1675,सर्व संज्ञा तुमच्यासाठी sie या शब्दाबरोबरच अगदी वाक्याच्या मध्यभागी असले तरीही नेहमी मोठ्या लिपीने सुरू होतात,"""तुमच्यासाठी"" या शब्दाच्या बाजूने सर्व संज्ञा नेहमी मोठ्या अक्षराने सुरू होतात, अगदी वाक्याच्या मध्यभागीही.",9.0836,58.2898
1950,सिंट्राचे रोमँटिक आणि मोहक शहर हे उत्तरेकडे व सहज पोहोचता येऊ शकणारे आहे तसेच लॉर्ड बायरनने रेकॉर्ड केलेल्या त्याच्या वैभवाच्या भव्यतेच्या वर्णनानंतर हे परदेशी लोकांमध्ये देखील प्रसिद्ध झाले आहे,उत्तर दिशेला आणि सहज पोहोचण्याजोग्या ठिकाणी सिंत्रा हे रोमँटिक आणि आकर्षक शहर आहे आणि लॉर्ड बायरन यांनी नोंदवलेल्या त्याच्या भव्यतेच्या चमकदार लेखानंतर परदेशी लोकांसाठी प्रसिद्ध झाले.,4.7972,42.2284
1728,कोबीचा रस रसायन किती आम्लिय किंवा मूलभूत अल्कधर्मी आहे यानुसार रंग बदलतो,"कोबीचा रस रासायनिक पदार्थ किती आम्ल, मूलभूत क्षारीय आहे यावर अवलंबून रंग बदलतो.",8.5492,44.0275
1972,अनेक लोकं त्याचा डायनासोर म्हणून विचार करत नाहीत कारण त्यांना पंख आहेत आणि ते उडू शकतात,बरेच लोक त्यांना डायनासोर म्हणून विचार करत नाहीत कारण त्यांच्याकडे पंख आहेत आणि ते उडू शकतात,61.4788,79.3517
1938,रुग्णालयाने संसर्गाची शक्यता टाळण्यासाठी रुग्णांना इतरांपासून वेगळे करण्याच्या नियमासह संसर्ग नियंत्रणाचे नियम पाळले,"रुग्णालयाने संसर्ग नियंत्रणासाठी प्रोटोकॉलचे अनुसरण केले आहे, ज्यात रुग्णाला इतरांपासून वेगळे करणे समाविष्ट आहे जेणेकरून इतरांना संभाव्य संसर्ग रोखता येईल.",4.1081,43.6582
1876,उत्तरी मारियानाच्या आणीबाणी व्यवस्थापन कार्यालयाने देशात कुठेही नुकसान झालेले नसल्याचे सांगितले आहे,"नॉर्दर्न मारियानास इमरजेन्सी मॅनेजमेंट ऑफिसने सांगितले की, देशात कोणतेही नुकसान झाले नाही.",3.7374,30.0160
1914,विसाव्या शतकातील संशोधनात असे दिसून आले आहे की अनुवांशिक भिन्नतेचे 2 समूह/पुल्स आहेत: छुपे आणि व्यक्त,"विसाव्या शतकातील संशोधनात असे दिसून आले आहे की अनुवांशिक भिन्नताचे दोन पूल आहेत, लपलेले आणि व्यक्त केलेले.",46.9915,70.5515
1846,या फॉरमॅटचा आस्पेक्ट रेशिओ सर्वात सोपा पूर्ण-संख्येतील रेशिओ प्राप्त करण्यासाठी बाराने भागणे म्हणून 3:2 असल्याचे समजले जाते,"या स्वरूपातील पैलू गुणोत्तर, सर्वात सोपा संपूर्ण संख्या गुणोत्तर मिळविण्यासाठी बाराने विभागणे, म्हणून तीन ते दोन असे म्हटले जाते.",4.5463,33.5550
1806,त्यांच्या अत्यंत भरभराटीच्या काळात प्रकाशाचे प्रदूषण ही आजच्या काळासारखी समस्या नव्हती ते सहसा शहरांमध्ये किंवा कॅम्पसमध्ये राहत होते त्यामुळे आधुनिक काळात बनवलेल्या ठिकाणांपेक्षा तेथे पोहोचणे सोपे आहे,"त्यांच्या उत्क्रांतीच्या काळात प्रकाश प्रदूषण ही आजची समस्या नव्हती, म्हणून ते सहसा शहरांमध्ये किंवा कॅम्पसमध्ये स्थित असतात, जे आधुनिक काळात बांधलेल्यांपेक्षा सहज उपलब्ध असतात.",18.9748,51.3513
